text,label
"This product is absolutely amazing, exceeded all expectations!",positive
"Terrible quality, broke after one day. Complete waste of money.",negative
"It works as described. Nothing special but does the job.",neutral
"I love everything about this! Would buy again in a heartbeat.",positive
"Worst purchase I have ever made. Stay away.",negative
"Decent product for the price. Has a few minor flaws but overall okay.",neutral
"Phenomenal experience from start to finish. Highly recommend!",positive
"Slow shipping and the item arrived damaged. Very disappointed.",negative
"Average product. Neither impressed nor disappointed.",neutral
"Incredibly well made. The attention to detail is superb.",positive
"The instructions were unclear and the product feels cheap.",negative
"Exactly what I needed. Does what it says on the tin.",neutral
"Outstanding value. Better than I expected by far.",positive
"Rude customer service and a broken item. Never again.",negative
"It is okay I suppose. Not great, not terrible.",neutral
"Absolutely brilliant! My whole family loves it.",positive
"Complete garbage. Stopped working after three uses.",negative
"Functional and straightforward. Good enough for my needs.",neutral
"A hidden gem. Genuinely surprised by how good this is.",positive
"Misleading description. Very unhappy with this purchase.",negative
